photo_file,waistband,shorts_colors,archetype,notes
jrnats25_A_1_Donald_Johnson.jpg,black,black(0.50) + red(0.40) + white(0.10),frame + energy-element + graphic/silhouette,Black and red shorts with white burst graphics and a black waistband framing the design.
jrnats25_A_2_Deontay_Crawford.jpg,black,royal blue(0.55) + black(0.35) + navy(0.10),frame + gradient + graphic/silhouette,Black-framed shorts fading from dark navy to royal blue with a logo graphic and line accent.
jrnats25_A_3_Marquis_Feagin.jpg,black,coral(0.45) + white(0.40) + black(0.15),frame + gradient + trim/piping,Coral-to-white gradient shorts with black waistband and diagonal black trim.
jrnats25_A_4_Michael_Torrez.jpg,red,white(0.65) + red(0.30) + gold(0.05),no frame + solid + graphic/silhouette,White shorts with a red upper panel trimmed in gold and a small red graphic emblem.
jrnats25_A_5_Jawanza_Hall.jpg,yellow,white(0.60) + yellow(0.25) + black(0.15),no frame + solid + bands,White shorts with yellow and black diagonal bands and a logo on the leg.
jrnats25_B_1_Antonio_Huddleston.jpg,black,green(0.55) + black(0.35) + orange(0.10),frame + pattern + block panels,Black-topped shorts with a tropical green palm-leaf print on the lower panels.
jrnats25_B_2_Paulo_Campagnaro.jpg,black,black(0.60) + red(0.15) + orange(0.12) + yellow(0.13),frame + gradient + bands,Black shorts with a warm red-orange-yellow gradient band along the lower hem and yellow trim.
jrnats25_B_3_Vincent_Davenport.jpg,black,black(0.75) + coral(0.20) + charcoal(0.05),frame + pattern + trim/piping,Black mottled camo-pattern shorts with a coral curved side stripe and black waistband.
jrnats25_B_4_Elvis_De_Los_Santos.jpg,navy,white(0.75) + navy(0.25),frame + solid + block panels,White board shorts with navy waistband and navy angled side panels.
jrnats25_B_5_Miles_Pines.jpg,black,black(0.90) + gray(0.10),frame + solid + graphic/silhouette,Black shorts featuring a gray serpent/dragon graphic along the side with a black waistband frame.
jrnats25_C_1_Torique_Smith.jpg,black,yellow(0.50) + white(0.40) + black(0.10),frame + gradient + graphic/silhouette,Yellow-to-white gradient shorts with a black lightning bolt graphic and black waistband.
jrnats25_C_2_Ricky_Betancourth.jpg,black,light blue(0.70) + black(0.30),frame + solid + block panels,Light blue shorts with a black upper panel and side framing.
jrnats25_C_3_Judge_Love.jpg,white,white(0.70) + light blue(0.25) + tan/bone(0.05),no frame + pattern + graphic/silhouette,White shorts with a light blue sky-and-clouds pattern and a small logo graphic.
jrnats25_C_4_Rodney_Taylor.jpg,green,green(0.90) + gold(0.10),no frame + solid + graphic/silhouette,Solid green shorts with gold lion graphic and drawstring detail.
