show,date,class,competitor,division_validated,base_color,design_archetype,accent_colors,waistband_color,notes,read_confidence,needs_human_review,source_gallery_url,screenshot_file,brand,brand_source,brand_confidence
2026 NPC Junior Nationals,2026-06,A,Kyle Lavender,MP-confirmed,black,color-block panels,coral-red + white,black,white chevron panel one leg + coral panel other,high,no,https://contests.npcnewsonline.com/contests/2026/npc_junior_nationals/ojm4/kyle_lavender,jrnats_A_kyle_lavender_23114527.jpg,HUMAN_REVIEW,MANIFEST text visible on rear waistband in sheet1 back shot = suspected Manifest,<90%
2026 NPC Junior Nationals,2026-06,B,Travis Pelser,MP-confirmed; MP photos are last 5 of gallery (rest are Classic crossover),PENDING,PENDING,mixed,,MP photos recovered ids 23114667+; Claude vision render failed - needs Brock read of screenshot,none,YES,https://contests.npcnewsonline.com/contests/2026/npc_junior_nationals/ojl7/travis_pelser,jrnats_B_travis_pelser_MP_23114667.jpg,Manifest,"Brock: waistband, back shots",confirmed
2026 NPC Junior Nationals,2026-06,C,Sean Fong,MP-confirmed,black,color-block panels,green + white,black,green thigh panel + white hem panel,high,no,https://contests.npcnewsonline.com/contests/2026/npc_junior_nationals/ojn0/sean_fong,jrnats_C_sean_fong_23115094.jpg,HUMAN_REVIEW,no legible mark at current resolution,none
2026 NPC Junior Nationals,2026-06,D,Bryan Uth,MP-confirmed,lavender/purple,solid + trim,white + tan stripe,black,black drawstring; white logo right leg,high,no,https://contests.npcnewsonline.com/contests/2026/npc_junior_nationals/ojnf/bryan_uth,jrnats_D_bryan_uth_23115319.jpg,HUMAN_REVIEW,no legible mark at current resolution,none
2026 NPC Junior Nationals,2026-06,E,Craver King,MP-confirmed,light blue,color-block panels,navy,light blue/navy,navy diagonal waist panel; navy back yoke,high,no,https://contests.npcnewsonline.com/contests/2026/npc_junior_nationals/ojno/craver_king,jrnats_E_craver_king_23115585.jpg,HUMAN_REVIEW,no legible mark at current resolution,none
2026 NPC Junior Nationals,2026-06,F,Jacob Podrezov,MP-confirmed,black,color-block/gradient,red,black (CHULA WEAR legible),brand CONFIRMED from waistband: Chula Wear,high,brand yes,https://contests.npcnewsonline.com/contests/2026/npc_junior_nationals/ojmt/jacob_podrezov,jrnats_F_jacob_podrezov_23115711.jpg,Chula Wear,pixel-read waistband + Brock confirmed,confirmed
2026 NPC Junior Nationals,2026-06,G,Dorian Lee,MP result confirmed; athlete gallery = Classic photos only (crossover),SEE LINEUP,first-callout lineup photo substituted (cmp_g),mixed,,winner shorts unreadable from lineup at distance,low,YES,https://contests.npcnewsonline.com/contests/2026/npc_junior_nationals/ojlk/dorian_lee,jrnats_G_dorian_lee_23114203.jpg,Brotherhood Sport Co,Brock confirmed; NOTE: same wholesaler as Different Breed,confirmed
2026 NPC Junior Nationals,2026-06,H,Brady Roberts (OVERALL),MP-confirmed,royal/medium blue,solid + trim,white piping + speckle,blue,white contour trim; small white logo,high,no,https://contests.npcnewsonline.com/contests/2026/npc_junior_nationals/ojnw/brady_roberts,jrnats_H_brady_roberts_23116114.jpg,HUMAN_REVIEW,"small white mark, possible trident = suspected Manifest (low)",<90%
2026 NPC Junior USA,2026-05,A,Miles Pines,MP-confirmed,royal blue,color-block panels,yellow + red stripe band + white,blue,white monogram logo; white drawstring,high,no,https://contests.npcnewsonline.com/contests/2026/npc_junior_usa/o93t/miles_pines,jrusa_A_Miles_Pines_22813046.jpg,HUMAN_REVIEW,interlocked monogram = unidentified (candidates: Brotherhood/FIED),<90%
2026 NPC Junior USA,2026-05,B,David Carver,MP-confirmed,black,energy/element print,red + white swirl/marble,black,white piping curve at hem,medium,no,https://contests.npcnewsonline.com/contests/2026/npc_junior_usa/o941/david_carver,jrusa_B_David_Carver_22813101.jpg,HUMAN_REVIEW,no legible mark at current resolution,none
2026 NPC Junior USA,2026-05,C,Mohammad Samardzic,MP-confirmed,white/yellow/black,color-block panels,bold diagonal blocks,black,high-contrast diagonal color blocking,high,no,https://contests.npcnewsonline.com/contests/2026/npc_junior_usa/o945/mohammad_samardzic,jrusa_C_Mohammad_Samardzic_22813212.jpg,HUMAN_REVIEW,no legible mark at current resolution,none
2026 NPC Junior USA,2026-05,D,Cole Sweetser,MP-confirmed,navy,solid + trim,red + white waist detail,navy w/ red-white,clean solid navy,medium,no,https://contests.npcnewsonline.com/contests/2026/npc_junior_usa/o947/cole_sweetser,jrusa_D_Cole_Sweetser_22813243.jpg,HUMAN_REVIEW,no legible mark at current resolution,none
2026 NPC Junior USA,2026-05,E,Jeffrey Ijor-Woodworth,MP-confirmed,red,energy/element print,black tiger-stripe/flame,black,all-over red-black stripe print; white monogram,high,no,https://contests.npcnewsonline.com/contests/2026/npc_junior_usa/o94e/jeffrey_ijorwoodworth,jrusa_E_Jeffrey_Ijor-Woodworth_22813420.jpg,HUMAN_REVIEW,interlocked monogram = unidentified,<90%
2026 NPC Junior USA,2026-05,F,Justin Kitchen,MP-confirmed,black/dark navy,solid + trim,purple geometric lines,black,purple circuit-style lines + purple drawstring; compression fit,medium,no,https://contests.npcnewsonline.com/contests/2026/npc_junior_usa/o94g/justin_kitchen,jrusa_F_Justin_Kitchen_22813495.jpg,HUMAN_REVIEW,no legible mark at current resolution,none
2025 NPC Nationals,2025-11,A,Damante Watson,MP-confirmed,black,energy/element print,red smoke/cloud,black,red-black smoke tie-dye; monogram lower leg,high,no,https://contests.npcnewsonline.com/contests/2025/npc_national_championships/nj8v/damante_watson,nats25_A_Damante_Watson_22066409.jpg,HUMAN_REVIEW,interlocked monogram = unidentified,<90%
